"Age"	"Function"	"big"	"first"	"good"	"last"	"little"	"new"	"nice"	"other"	"right"
6	"Attributive"	4.19475655430712	2.69662921348315	8.91385767790262	5.91760299625468	6.81647940074906	4.19475655430712	3.97003745318352	60.5992509363296	2.69662921348315
6	"Predicative"	1.28755364806867	2.36051502145923	8.36909871244635	0.643776824034335	1.07296137339056	0.214592274678112	5.15021459227468	78.3261802575107	2.57510729613734
5	"Attributive"	4.5866935483871	3.125	11.2651209677419	5.67036290322581	4.18346774193548	4.30947580645161	2.94858870967742	60.7862903225806	3.125
5	"Predicative"	1.44528561596696	1.58293186510668	11.2869924294563	1.03234686854783	0.894700619408121	0.412938747419133	2.89057123193393	77.2195457673778	3.23468685478321
4	"Attributive"	4.16263310745402	2.61374636979671	9.29332042594385	4.35624394966118	4.06582768635044	3.96902226524685	1.83930300096805	66.892545982575	2.80735721200387
4	"Predicative"	1.19617224880383	0.717703349282297	12.200956937799	0.717703349282297	1.19617224880383	0.239234449760766	3.11004784688995	73.444976076555	7.17703349282297
3	"Attributive"	3.94088669950739	3.64532019704433	8.07881773399015	3.2512315270936	7.29064039408867	6.40394088669951	3.44827586206897	60	3.94088669950739
3	"Predicative"	1.53061224489796	1.78571428571429	9.94897959183673	1.53061224489796	1.27551020408163	1.02040816326531	1.78571428571429	75.2551020408163	5.86734693877551
2	"Attributive"	4.37853107344633	3.67231638418079	8.61581920903955	3.53107344632768	7.20338983050847	3.38983050847458	3.95480225988701	61.5819209039548	3.67231638418079
2	"Predicative"	0.746268656716418	2.98507462686567	8.2089552238806	1.11940298507463	1.49253731343284	1.86567164179104	4.1044776119403	74.2537313432836	5.22388059701492
1	"Attributive"	3.79746835443038	3.54430379746835	4.81012658227848	3.54430379746835	5.82278481012658	7.34177215189873	2.53164556962025	66.8354430379747	1.77215189873418
1	"Predicative"	3.93700787401575	4.7244094488189	5.51181102362205	NA	0.78740157480315	1.5748031496063	2.36220472440945	78.740157480315	2.36220472440945
