"Age"	"Function"	"big"	"first"	"good"	"last"	"little"	"new"	"nice"	"other"	"right"
6	"Attributive"	5.35714285714286	0	28.5714285714286	1.26582278481013	1.0989010989011	0	33.9622641509434	16.6872682323857	0
6	"Predicative"	0	0	23.0769230769231	0	20	0	20.8333333333333	26.5753424657534	0
5	"Attributive"	6.59340659340659	0	28.8590604026846	0.444444444444444	0	0.584795321637427	34.1880341880342	16.5837479270315	1.61290322580645
5	"Predicative"	9.52380952380952	0	31.7073170731707	0	0	0	40.4761904761905	20.9447415329768	0
4	"Attributive"	4.65116279069767	0	31.25	0	0	2.4390243902439	21.0526315789474	13.7481910274964	0
4	"Predicative"	0	0	27.4509803921569	0	40	0	7.69230769230769	18.8925081433225	0
3	"Attributive"	5	0	18.2926829268293	0	4.05405405405405	0	20	12.3152709359606	0
3	"Predicative"	0	0	23.0769230769231	16.6666666666667	0	0	14.2857142857143	13.8983050847458	0
2	"Attributive"	6.45161290322581	3.84615384615385	13.1147540983607	0	1.96078431372549	4.16666666666667	42.8571428571429	13.302752293578	0
2	"Predicative"	0	0	9.09090909090909	0	50	0	18.1818181818182	24.1206030150754	0
1	"Attributive"	6.66666666666667	0	15.7894736842105	0	0	0	40	8.71212121212121	0
1	"Predicative"	20	0	14.2857142857143	NA	0	0	66.6666666666667	21	0
