Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very
good	MAORI	Man	20-29	University	ENGLISH	2.08391150576404	Attributive	NoPrime	-0.0226388740963546	Value	PositiveEmotional	other
good	MAORI	Woman	20-29	University	ENGLISH	2.45080164998564	Attributive	Prime	-1.22709041023302	Value	PositiveEmotional	other
good	MAORI	Man	20-29	University	ENGLISH	2.08391150576404	Attributive	NoPrime	0.0596983459809832	Value	PositiveEmotional	very
good	MAORI	Woman	20-29	University	ENGLISH	2.45080164998564	Attributive	NoPrime	0.689685879556441	Value	PositiveEmotional	very
other	MAORI	Man	20-29	University	ENGLISH	-0.567136862246562	Attributive	NoPrime	-1.22709041023302	HumanPropensity	PositiveEmotional	other
other	MAORI	Man	20-29	University	ENGLISH	-0.567136862246562	Attributive	Prime	-1.22709041023302	HumanPropensity	PositiveEmotional	other
good	MAORI	Man	40-49	NoUniversity	ENGLISH	1.25951347171666	Predicative	NoPrime	1.04703185702984	Value	PositiveEmotional	other
cool	PAKEHA	Man	20-29	University	ENGLISH	-0.223652411932838	Attributive	NoPrime	-1.22709041023302	PhysicalProperty	PositiveEmotional	other
other	PAKEHA	Woman	40-49	NoUniversity	ENGLISH	-0.665808813519667	Attributive	NoPrime	-0.490765451996583	PhysicalProperty	NonEmotional	very
other	PAKEHA	Man	20-29	University	ENGLISH	-0.569711307277481	Attributive	NoPrime	-0.518157288717775	Other	NonEmotional	other
hard	PAKEHA	Man	60+	NoUniversity	ENGLISH	-0.435686061565688	Predicative	NoPrime	0.324029902145076	PhysicalProperty	NonEmotional	very
other	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	-0.660564741511262	Attributive	NoPrime	1.44098834995009	Value	PositiveEmotional	other
bad	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.0829825598560295	Attributive	NoPrime	1.51691940885917	Value	NegativeEmotional	other
bad	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.0829825598560295	Attributive	Prime	1.09248032468469	Value	NegativeEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.614283653112104	Predicative	NoPrime	-1.22709041023302	HumanPropensity	NonEmotional	other
bad	PAKEHA	Woman	20-29	University	ENGLISH	-0.116849202938834	Predicative	NoPrime	1.0924647896064	Value	NegativeEmotional	other
other	PAKEHA	Woman	20-29	University	ENGLISH	-0.48853470427788	Attributive	Prime	-1.22709041023302	HumanPropensity	NegativeEmotional	other
other	PAKEHA	Man	16-19	NoUniversity	ENGLISH	-0.614283653112104	Predicative	Prime	1.72684159857778	HumanPropensity	NonEmotional	other
