ID	File	Speaker	Adjective	Ethnicity	Gender	Age	Education	L1	Frequency	Function	Priming	Gradability	SemanticCategory	Emotionality	very	FileSpeaker
53080	DPC132	MP	nice	PAKEHA	Woman	50-59	NoUniversity	ENGLISH	1.32536	Attributive	NoPrime	-0.584945898005677	Value	NonEmotional	very	DPC132MP
53136	DPC133	AS	good	PAKEHA	Man	20-29	University	OTHER	6.08091	Attributive	NoPrime	-0.571954008851724	Value	PositiveEmotional	other	DPC133AS
53195	DPC133	BO	keen	MAORI	Woman	40-49	NoUniversity	ENGLISH	0.11359	Predicative	NoPrime	-2.97383470072124	HumanPropensity	NonEmotional	other	DPC133BO
53205	DPC133	AS	useful	PAKEHA	Man	20-29	University	OTHER	0.0773	Predicative	NoPrime	-1.84072751703456	Value	NonEmotional	other	DPC133AS
53305	DPC133	BO	handy	MAORI	Woman	40-49	NoUniversity	ENGLISH	0.05679	Attributive	NoPrime	-0.335502752380931	Value	PositiveEmotional	other	DPC133BO
53358	DPC133	AS	expensive	PAKEHA	Man	20-29	University	OTHER	0.18037	Predicative	NoPrime	1	Value	NonEmotional	other	DPC133AS
53367	DPC133	AS	good	PAKEHA	Man	20-29	University	OTHER	6.08091	Predicative	NoPrime	-3.66356164612965	Value	PositiveEmotional	other	DPC133AS
53369	DPC133	AS	good	PAKEHA	Man	20-29	University	OTHER	6.08091	Predicative	Prime	0.422029131208159	Value	PositiveEmotional	other	DPC133AS
53447	DPC136	AT	funny	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	1.13112	Attributive	NoPrime	-1.37474250938578	HumanPropensity	NonEmotional	other	DPC136AT
53448	DPC136	AT	strange	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.22622	Attributive	Prime	-2.4593383423993	Other	NonEmotional	other	DPC136AT
53450	DPC136	AT	good	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	6.89038	Attributive	Prime	-3.66356164612965	Value	PositiveEmotional	other	DPC136AT
53468	DPC136	AT	beautiful	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.16024	Predicative	NoPrime	-2.50192548729415	Value	PositiveEmotional	other	DPC136AT
53522	DPC136	BD	hard	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.57545	Predicative	NoPrime	-2.9178149189019	PhysicalProperty	NonEmotional	other	DPC136BD
53537	DPC136	BD	bad	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	1.30009	Attributive	Prime	-3.66356164612965	Value	NegativeEmotional	other	DPC136BD
53566	DPC136	BD	strange	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.21313	Predicative	NoPrime	-0.767223722558746	Other	NonEmotional	very	DPC136BD
53579	DPC136	BD	weird	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.27707	Predicative	NoPrime	1.01880354174708	HumanPropensity	NegativeEmotional	other	DPC136BD
53581	DPC136	BD	hard	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.57545	Predicative	Prime	-3.66356164612965	PhysicalProperty	NonEmotional	other	DPC136BD
53588	DPC136	BD	wet	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.06394	Predicative	NoPrime	-1.91776766288486	PhysicalProperty	NonEmotional	other	DPC136BD
53590	DPC136	BD	weird	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.27707	Attributive	Prime	-0.340997900345627	HumanPropensity	NegativeEmotional	other	DPC136BD
53618	DPC136	BD	stupid	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.44757	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NegativeEmotional	other	DPC136BD
53629	DPC136	BD	mean	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.85251	Predicative	NoPrime	-2.10283803554132	HumanPropensity	NonEmotional	very	DPC136BD
53631	DPC136	BD	annoyed	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.04263	Predicative	NoPrime	1	HumanPropensity	NonEmotional	other	DPC136BD
53646	DPC136	BD	vital	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.02131	Attributive	NoPrime	-0.218314658594273	Value	PositiveEmotional	very	DPC136BD
53656	DPC136	BD	profound	PAKEHA	Woman	16-19	NoUniversity	ENGLISH	0.02131	Predicative	NoPrime	-0.0351485915661357	Value	NonEmotional	other	DPC136BD
53685	DPC136	AT	cool	PAKEHA	Woman	20-29	NoUniversity	ENGLISH	0.98973	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	other	DPC136AT
53701	DPC138	AA	good	MAORI	Woman	20-29	NoUniversity	ENGLISH	6.89038	Predicative	NoPrime	-0.977831079307236	Value	PositiveEmotional	other	DPC138AA
53755	DPC138	BC	hard	PAKEHA	Woman	20-29	University	ENGLISH	0.75408	Predicative	NoPrime	2.08207771138648	PhysicalProperty	NonEmotional	other	DPC138BC
53773	DPC138	BC	glad	PAKEHA	Woman	20-29	University	ENGLISH	0.13196	Attributive	NoPrime	-3.66356164612965	HumanPropensity	PositiveEmotional	other	DPC138BC
53774	DPC138	BC	glad	PAKEHA	Woman	20-29	University	ENGLISH	0.13196	Attributive	Prime	-2.79245082499131	HumanPropensity	PositiveEmotional	other	DPC138BC
53789	DPC138	AA	good	MAORI	Woman	20-29	NoUniversity	ENGLISH	6.89038	Attributive	NoPrime	-1.414370662825	Value	PositiveEmotional	other	DPC138AA
53809	DPC138	BC	fast	PAKEHA	Woman	20-29	University	ENGLISH	0.0377	Predicative	NoPrime	-3.66356164612965	Speed	NonEmotional	other	DPC138BC
53813	DPC138	BC	bad	PAKEHA	Woman	20-29	University	ENGLISH	1.22537	Attributive	Prime	-3.66356164612965	Value	NegativeEmotional	other	DPC138BC
53816	DPC138	AA	early	MAORI	Woman	20-29	NoUniversity	ENGLISH	0.12254	Predicative	Prime	-2.93790760075619	Other	NonEmotional	other	DPC138AA
53826	DPC138	AA	nice	MAORI	Woman	20-29	NoUniversity	ENGLISH	1.72495	Attributive	NoPrime	-3.66356164612965	Value	NonEmotional	other	DPC138AA
53941	DPC139	MY	expensive	PAKEHA	Woman	16-19	University	ENGLISH	0.34101	Attributive	NoPrime	1	Value	NonEmotional	very	DPC139MY
53962	DPC139	KL	good	PAKEHA	Woman	20-29	University	ENGLISH	6.89038	Attributive	NoPrime	-2.1078931826898	Value	PositiveEmotional	other	DPC139KL
53977	DPC139	KL	cool	PAKEHA	Woman	20-29	University	ENGLISH	0.98973	Attributive	NoPrime	-3.66356164612965	PhysicalProperty	PositiveEmotional	other	DPC139KL
53998	DPC139	KL	subtle	PAKEHA	Woman	20-29	University	ENGLISH	0.00943	Attributive	NoPrime	-3.66356164612965	Other	NonEmotional	very	DPC139KL
54002	DPC139	KL	funny	PAKEHA	Woman	20-29	University	ENGLISH	1.13112	Attributive	NoPrime	-3.66356164612965	HumanPropensity	NonEmotional	other	DPC139KL
54095	DPC139	KL	bored	PAKEHA	Woman	20-29	University	ENGLISH	0.07541	Attributive	NoPrime	1	HumanPropensity	NonEmotional	other	DPC139KL
