"Age"	"Function"	"Variant"	"Adjective"	"VariantAdjective"	"VariantOtherAdjective"	"OtherVariantAdjective"	"OtherVariantOtherAdjective"	"AmplifierFrequency"	"AdjectiveFrequency"	"TotalFrequency"	"Expected"	"Probability"	"OddsRatio"	"p"	"Effect"
"20-29"	"Predicative"	"very"	"good"	8	18	44	236	26	52	306	4.41830065359477	0.169934640522876	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.976875872888835	0.01
"20-29"	"Predicative"	"really"	"nice"	14	150	3	139	164	17	306	9.11111111111111	0.0555555555555556	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.959542797067817	0.02
"20-29"	"Predicative"	"very"	"nice"	3	23	14	266	26	17	306	1.44444444444444	0.0555555555555556	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.946442317424252	0.02
"20-29"	"Predicative"	"other"	"other"	106	10	131	59	116	237	306	89.843137254902	0.774509803921569	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.999978849920126	0
"20-29"	"Predicative"	"really"	"other"	116	48	121	21	164	237	306	127.019607843137	0.774509803921569	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.027210318243431	1.57
"20-29"	"Predicative"	"very"	"other"	15	11	222	58	26	237	306	20.1372549019608	0.774509803921569	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0194527770768266	1.71
"30-39"	"Attributive"	"other"	"good"	7	43	23	59	50	30	132	11.3636363636364	0.227272727272727	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0914841685088134	1.04
"30-39"	"Attributive"	"really"	"good"	18	43	12	59	61	30	132	13.8636363636364	0.227272727272727	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.918343511169449	0.04
"30-39"	"Attributive"	"very"	"good"	5	16	25	86	21	30	132	4.77272727272727	0.227272727272727	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.6622493838209	0.18
"30-39"	"Attributive"	"really"	"nice"	2	59	2	69	61	4	132	1.84848484848485	0.0303030303030303	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.718260783274298	0.14
"30-39"	"Attributive"	"very"	"nice"	2	19	2	109	21	4	132	0.636363636363636	0.0303030303030303	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.975393252517342	0.01
"30-39"	"Attributive"	"other"	"other"	43	7	55	27	50	98	132	37.1212121212121	0.742424242424243	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.985450262877725	0.01
"30-39"	"Attributive"	"really"	"other"	41	20	57	14	61	98	132	45.2878787878788	0.742424242424242	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.134548594570615	0.87
"30-39"	"Attributive"	"very"	"other"	14	7	84	27	21	98	132	15.5909090909091	0.742424242424242	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.283712261589067	0.55
"30-39"	"Predicative"	"other"	"good"	2	27	12	34	29	14	75	5.41333333333333	0.186666666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.0725781555254375	1.14
"30-39"	"Predicative"	"really"	"good"	9	22	5	39	31	14	75	5.78666666666667	0.186666666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.949928311533421	0.02
"30-39"	"Predicative"	"very"	"good"	3	12	11	49	15	14	75	2.8	0.186666666666667	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.697637087143667	0.16
"30-39"	"Predicative"	"very"	"nice"	1	14	0	60	15	1	75	0.2	0.0133333333333333	"Inf"	0.983365872236221	0.01
"30-39"	"Predicative"	"other"	"other"	27	2	33	13	29	60	75	23.2	0.8	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.987233743344869	0.01
"30-39"	"Predicative"	"really"	"other"	22	9	38	6	31	60	75	24.8	0.8	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.150762479391444	0.82
"30-39"	"Predicative"	"very"	"other"	11	4	49	11	15	60	75	12	0.8	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.351837895426048	0.45
"40-49"	"Attributive"	"other"	"good"	4	34	11	53	38	15	102	5.58823529411765	0.147058823529412	"Fisher's Exact Test for Count Data with simulated p-value
	 (based on 2000 replicates)"	0.324618149341338	0.49
